Printout for SDDS file lpaxfel_largedE.sdds

       p              t              x              y              xp             yp      
    m$be$nc           s              m              m                                     
------------------------------------------------------------------------------------------
  4.699762e+02   1.188180e-13   8.579725e-04  -2.551149e-05   0.000000e+00   5.651640e-03 
  4.663965e+02   1.631297e-13   7.762706e-04   8.622590e-06   0.000000e+00  -1.471628e-02 
  4.616451e+02   7.871794e-13   6.510240e-04   2.191921e-05   0.000000e+00   3.216156e-02 
  4.668562e+02  -1.848261e-13   7.872709e-04   2.815185e-05   0.000000e+00   4.695558e-02 
  4.743115e+02  -8.552058e-13   9.468501e-04   2.290373e-05   0.000000e+00  -9.551984e-03 
  4.831355e+02   2.298287e-13   1.103984e-03  -1.837860e-05   0.000000e+00  -4.095719e-02 
  4.767272e+02   3.209479e-13   9.926252e-04  -3.063752e-05   0.000000e+00   8.517875e-03 
  4.754477e+02   4.475414e-13   9.686765e-04  -4.013727e-05   0.000000e+00   3.972769e-02 
  4.726669e+02  -7.548246e-13   9.142423e-04   3.935980e-06   0.000000e+00   2.014963e-02 
  4.681969e+02   2.974614e-13   8.184572e-04  -4.085160e-05   0.000000e+00   3.406083e-02 
  4.652125e+02  -2.168787e-13   7.471382e-04  -3.070931e-06   0.000000e+00  -1.687816e-03 
  4.565809e+02   2.599645e-14   4.809455e-04   8.798291e-05   0.000000e+00   3.954323e-02 
  4.541112e+02  -1.898560e-13   3.696702e-04  -4.747487e-05   0.000000e+00  -2.241009e-02 
  4.659879e+02  -9.783709e-13   7.663485e-04  -6.888897e-05   0.000000e+00  -3.537074e-02 
  4.572546e+02   5.556094e-14   5.069943e-04  -7.555890e-05   0.000000e+00   3.183809e-02 
  4.804104e+02  -8.982129e-13   1.058231e-03   5.958656e-05   0.000000e+00   1.762468e-02 
  4.689582e+02   1.788512e-14   8.356111e-04   1.061581e-05   0.000000e+00   2.095707e-02 
  4.626239e+02  -1.092961e-12   6.788241e-04  -5.937790e-05   0.000000e+00   2.158197e-02 
  4.703323e+02  -1.101811e-12   8.656488e-04  -7.865372e-05   0.000000e+00   4.060750e-02 
  4.569602e+02   6.726958e-13   4.957851e-04   4.936664e-05   0.000000e+00   3.820537e-02 
  4.602637e+02  -8.124825e-13   6.095254e-04   1.776197e-05   0.000000e+00   2.332533e-03 
  4.774399e+02   1.181063e-13   1.005691e-03   1.672162e-05   0.000000e+00  -3.549524e-02 
  4.866875e+02  -8.756804e-13   1.160582e-03  -2.082993e-05   0.000000e+00   1.226751e-03 
  4.645874e+02   8.451559e-13   7.312596e-04   5.144224e-05   0.000000e+00   4.164258e-02 
  4.857365e+02   9.556199e-13   1.145740e-03  -6.281386e-05   0.000000e+00   1.332921e-02 
  4.639575e+02   7.207933e-13   7.148806e-04   2.427921e-05   0.000000e+00   4.432302e-02 
  4.709186e+02  -1.014683e-12   8.781277e-04  -8.020080e-05   0.000000e+00  -3.124533e-02 
  4.550053e+02  -1.250124e-13   4.134989e-04   2.602461e-05   0.000000e+00   3.868829e-02 
  4.643237e+02   1.079156e-12   7.244494e-04  -1.048669e-05   0.000000e+00   8.255422e-04 
  4.587802e+02  -9.685130e-14   5.614042e-04   9.007746e-05   0.000000e+00  -1.066265e-02 
  4.767558e+02   2.659060e-15   9.931537e-04   4.636707e-05   0.000000e+00   2.608702e-02 
  4.860796e+02  -8.350997e-13   1.151121e-03  -1.776093e-05   0.000000e+00  -3.166703e-02 
  4.822430e+02  -1.895654e-13   1.089238e-03  -4.550743e-06   0.000000e+00   2.166297e-02 
  4.542744e+02  -5.954767e-13   3.780560e-04   8.647182e-05   0.000000e+00  -1.612272e-02 
  4.609201e+02   8.782745e-13   6.295996e-04   4.531014e-05   0.000000e+00   5.682534e-03 
  4.760601e+02   6.829478e-13   9.802209e-04   9.374686e-06   0.000000e+00  -1.782946e-02 
  4.841328e+02   8.743776e-13   1.120203e-03  -4.218117e-05   0.000000e+00   4.957571e-02 
  4.852865e+02  -3.875010e-13   1.138640e-03  -6.450528e-05   0.000000e+00   2.680289e-02 
  4.711274e+02  -2.412094e-13   8.825239e-04   1.748976e-05   0.000000e+00   1.107161e-02 
  4.820670e+02  -5.261560e-13   1.086303e-03   8.750947e-05   0.000000e+00  -3.258709e-02 
  4.509685e+02   4.149798e-13   1.243718e-04  -1.839212e-05   0.000000e+00   5.422752e-03 
  4.634477e+02  -3.836128e-13   7.013262e-04  -4.601123e-06   0.000000e+00  -4.408020e-02 
  4.671007e+02  -4.313809e-13   7.930568e-04   3.607377e-05   0.000000e+00   8.678607e-03 
  4.681439e+02   6.914180e-14   8.172495e-04  -6.434416e-05   0.000000e+00   4.423224e-02 
  4.851706e+02  -4.204141e-13   1.136804e-03   4.124708e-05   0.000000e+00   2.943809e-02 
  4.632506e+02   9.832626e-13   6.960133e-04   5.850206e-05   0.000000e+00   7.624453e-03 
  4.681117e+02  -3.059608e-13   8.165144e-04   3.481604e-05   0.000000e+00  -9.457400e-03 
  4.517140e+02  -1.003978e-12   2.104620e-04  -5.853365e-05   0.000000e+00   4.814577e-02 
  4.702805e+02   8.702136e-13   8.645355e-04   2.351348e-05   0.000000e+00   1.788691e-02 
  4.625837e+02  -1.008164e-12   6.777065e-04   3.060331e-05   0.000000e+00   3.539554e-02 
  4.867618e+02   4.762028e-13   1.161732e-03  -5.138999e-05   0.000000e+00   2.350647e-02 
  4.855672e+02   3.639975e-14   1.143075e-03   9.168053e-05   0.000000e+00  -1.588426e-02 
  4.815840e+02  -3.691294e-13   1.078203e-03  -8.986087e-05   0.000000e+00   3.672076e-02 
  4.661670e+02  -5.176490e-13   7.707148e-04   8.273458e-05   0.000000e+00  -3.119693e-02 
  4.724732e+02  -1.129736e-13   9.103186e-04  -9.077020e-05   0.000000e+00  -3.939019e-03 
  4.620936e+02   1.034829e-13   6.639133e-04  -3.770974e-05   0.000000e+00   8.351109e-03 
  4.636715e+02  -3.910109e-13   7.073112e-04   3.779516e-06   0.000000e+00  -2.990838e-02 
  4.835405e+02   2.639438e-13   1.110604e-03   7.500422e-05   0.000000e+00   2.868457e-02 
  4.589647e+02   9.764616e-13   5.676210e-04  -1.171082e-05   0.000000e+00   1.786605e-02 
  4.778521e+02  -4.334903e-13   1.013164e-03  -5.904913e-05   0.000000e+00  -2.104099e-02 
  4.693391e+02  -2.157245e-13   8.440520e-04   7.667063e-05   0.000000e+00   5.201742e-03 
  4.858009e+02  -1.083321e-12   1.146753e-03  -2.019253e-05   0.000000e+00  -1.794346e-02 
  4.712722e+02  -1.019957e-13   8.855599e-04  -3.755444e-05   0.000000e+00   1.181091e-02 
  4.561653e+02   1.116343e-12   4.641322e-04  -3.968507e-05   0.000000e+00   1.159012e-02 
  4.829326e+02  -7.182671e-13   1.100651e-03  -6.590723e-05   0.000000e+00   3.851366e-02 
